,objectid,acc_id,longitude,latitude,crash_date,crash_time,severity
70575,24364115,9758136,121.471543,-30.776333,6/05/2018,1512.0,Fatal
70609,24364149,9729938,116.036521,-34.357046000000004,9/03/2018,1305.0,Fatal
70615,24364155,9729969,115.86148600000001,-31.945615999999998,18/03/2018,330.0,Fatal
70616,24364156,9729975,115.083917,-33.636140999999995,18/03/2018,2247.0,Fatal
70617,24364157,9729979,116.20578,-30.994406,14/03/2018,1540.0,Fatal
70618,24364158,9729986,115.81016799999999,-33.999637,10/03/2018,1400.0,Fatal
70619,24364159,9729993,115.749587,-32.048082,19/03/2018,1202.0,Fatal
70659,24364199,9739073,116.06223899999999,-31.981334999999998,1/04/2018,1133.0,Fatal
70690,24364230,9739300,116.09641200000002,-32.769659999999995,8/04/2018,2215.0,Fatal
70865,24364405,9758659,116.367571,-31.786272999999998,9/05/2018,1511.0,Fatal
71097,24364637,9758766,115.78463,-31.8029,8/05/2018,845.0,Fatal
71190,24364730,9730921,115.704375,-32.295482,24/03/2018,1725.0,Fatal
71191,24364731,9730927,116.00938300000001,-32.079226,23/03/2018,623.0,Fatal
71192,24364732,9730933,115.850261,-32.231193,24/03/2018,456.0,Fatal
71214,24364754,9731068,115.906279,-32.140413,22/03/2018,1534.0,Fatal
73038,24366578,9743983,115.930838,-32.060179,11/04/2018,1607.0,Fatal
73039,24366579,9743989,115.80942399999999,-32.046913,10/04/2018,1837.0,Fatal
73041,24366581,9744013,128.47403500000001,-31.782394,12/04/2018,1323.0,Fatal
73048,24366588,9744083,115.85518,-32.118088,13/04/2018,1806.0,Fatal
73052,24366592,9744128,116.18276599999999,-28.416724,16/04/2018,1100.0,Fatal
73056,24366596,9744159,115.463421,-30.588644,18/04/2018,1128.0,Fatal
73057,24366597,9744167,115.906373,-32.140456,19/04/2018,1720.0,Fatal
73113,24366653,9753664,116.47251000000001,-32.805403000000005,25/04/2018,10.0,Fatal
73114,24366654,9753669,116.16552,-31.951705,25/04/2018,1530.0,Fatal
73322,24366862,9744501,118.039745,-20.861175,22/04/2018,1030.0,Fatal
73323,24366863,9744508,115.826884,-32.325689000000004,20/04/2018,2349.0,Fatal
73327,24366867,9744528,115.786068,-32.083088000000004,20/04/2018,1621.0,Fatal
73903,24367443,9782335,115.80416799999999,-31.940797999999997,13/06/2018,1126.0,Fatal
73904,24367444,9782336,115.828353,-31.878249,13/06/2018,600.0,Fatal
73906,24367446,9782339,115.73325700000001,-33.503546,13/06/2018,730.0,Fatal
74182,24367722,9774120,115.772457,-32.068277,27/05/2018,1056.0,Fatal
74183,24367723,9774121,115.8071,-30.791272999999997,25/05/2018,940.0,Fatal
74475,24368015,9774281,116.24819199999999,-32.375884,6/05/2018,815.0,Fatal
74476,24368016,9774282,123.637977,-17.308173999999998,31/05/2018,1640.0,Fatal
74479,24368019,9774339,115.720583,-33.135597,3/06/2018,1137.0,Fatal
74927,24368467,9766182,115.714402,-33.278989,16/05/2018,2029.0,Fatal
75665,24369205,9786086,117.210503,-31.404964,17/06/2018,1022.0,Fatal
75808,24369348,9796110,118.051891,-34.857449,4/07/2018,514.0,Fatal
75996,24369536,9787175,116.731326,-31.676699,11/06/2018,1030.0,Fatal
75998,24369538,9787285,114.70923700000002,-28.838052,23/06/2018,315.0,Fatal
78084,24371624,9801016,115.79848700000001,-32.366655,7/07/2018,913.0,Fatal
78243,24371783,9782114,115.743187,-32.320446000000004,10/06/2018,124.0,Fatal
78244,24371784,9782115,115.87125900000001,-31.890478,9/06/2018,135.0,Fatal
78318,24371858,9791540,117.55769699999999,-33.686556,29/01/2018,250.0,Fatal
78322,24371862,9792012,115.87425900000001,-33.291984,29/06/2018,1242.0,Fatal
78323,24371863,9792013,128.743772,-15.777320000000001,30/06/2018,120.0,Fatal
78386,24371926,9801284,122.246857,-17.91546,10/07/2018,1000.0,Fatal
78391,24371931,9801545,115.867828,-31.901803,12/07/2018,240.0,Fatal
78392,24371932,9801612,115.76086299999999,-31.69221,12/07/2018,843.0,Fatal
79229,24372769,9832005,115.90449,-31.960161,24/08/2018,259.0,Fatal
79529,24373069,9832611,119.00633899999998,-25.881312,2/09/2018,1948.0,Fatal
79698,24373238,9823519,121.87123999999999,-33.802814,11/08/2018,130.0,Fatal
79752,24373292,9823965,117.82866399999999,-33.233856,19/08/2018,1233.0,Fatal
80163,24373703,9805379,115.917727,-33.631427,17/07/2018,400.0,Fatal
80172,24373712,9805853,115.85456299999998,-32.579538,22/07/2018,438.0,Fatal
80200,24373740,9815135,116.15375300000001,-31.976672999999998,30/07/2018,1235.0,Fatal
80201,24373741,9815139,121.69637900000001,-32.449567,30/07/2018,1810.0,Fatal
80205,24373745,9815164,116.03343000000001,-31.887388,31/07/2018,1823.0,Fatal
80210,24373750,9815337,127.214026,-15.94564,3/08/2018,2339.0,Fatal
80212,24373752,9815345,116.01100100000001,-31.961015999999997,4/08/2018,745.0,Fatal
80213,24373753,9815349,116.03886299999999,-31.657931,4/08/2018,10.0,Fatal
80216,24373756,9815365,114.87263300000001,-29.073381,2/08/2018,1450.0,Fatal
81567,24375107,9836459,115.900291,-32.219781,3/09/2018,1634.0,Fatal
81568,24375108,9836463,118.09878700000002,-32.456732,3/09/2018,702.0,Fatal
81569,24375109,9836521,116.3093,-31.651883,4/09/2018,1415.0,Fatal
81571,24375111,9836595,116.16356599999999,-31.965582,5/09/2018,1527.0,Fatal
81572,24375112,9836599,116.00063999999999,-31.807607,13/08/2018,1350.0,Fatal
81575,24375115,9836633,117.74474,-31.630916,6/09/2018,2315.0,Fatal
81576,24375116,9836649,117.95091599999999,-34.942535,8/09/2018,1600.0,Fatal
82039,24375579,9828079,117.58883700000001,-32.370939,19/08/2018,2340.0,Fatal
82277,24375817,9819686,115.889576,-32.291802000000004,8/08/2018,556.0,Fatal
82482,24376022,9810645,115.246508,-33.716767,25/07/2018,1456.0,Fatal
83298,24376838,9876623,116.80287,-31.808086,23/11/2018,1545.0,Fatal
83299,24376839,9876627,123.027872,-16.434873,24/11/2018,500.0,Fatal
83300,24376840,9876631,115.57231599999999,-33.518843,25/11/2018,632.0,Fatal
83301,24376841,9876635,116.616949,-31.670988,25/11/2018,1101.0,Fatal
83441,24376981,9858661,114.65375300000001,-27.394028000000002,4/10/2018,1530.0,Fatal
83512,24377052,9867980,116.104743,-33.043652,24/10/2018,1140.0,Fatal
83515,24377055,9868017,116.41841200000002,-32.552724,27/10/2018,2240.0,Fatal
83516,24377056,9868021,116.10430500000001,-32.035475,27/10/2018,1035.0,Fatal
83591,24377131,9877063,115.86596899999999,-31.866246000000004,26/11/2018,204.0,Fatal
83603,24377143,9877953,115.88098799999999,-28.802259999999997,28/11/2018,600.0,Fatal
83609,24377149,9878194,116.537866,-31.495601,29/11/2018,632.0,Fatal
83734,24377274,9859113,116.65648600000002,-31.564566999999997,9/10/2018,2300.0,Fatal
83737,24377277,9859300,117.62990400000001,-34.487969,13/10/2018,1930.0,Fatal
83738,24377278,9859304,117.61843200000001,-33.785393,13/10/2018,420.0,Fatal
83997,24377537,9850395,115.263176,-29.817724,16/09/2018,1020.0,Fatal
84287,24377827,9850976,115.79931200000001,-32.233329,28/09/2018,545.0,Fatal
84291,24377831,9851103,115.766861,-32.332113,29/09/2018,2116.0,Fatal
84469,24378009,9841723,119.219753,-20.664269,14/09/2018,2115.0,Fatal
84781,24378321,9842410,115.44455900000001,-33.642728999999996,23/09/2018,2022.0,Fatal
84782,24378322,9842414,128.26748600000002,-15.722101,22/09/2018,300.0,Fatal
84783,24378323,9842419,114.307203,-23.394941,22/09/2018,1213.0,Fatal
85566,24379106,9872001,115.922925,-31.969513,31/10/2018,1049.0,Fatal
85567,24379107,9872011,116.678712,-32.364463,1/11/2018,1355.0,Fatal
85568,24379108,9872063,117.238703,-34.914575,3/11/2018,830.0,Fatal
85569,24379109,9872067,116.15156100000002,-31.90557,4/11/2018,1053.0,Fatal
87343,24380883,9875781,115.815303,-33.306101,6/11/2018,837.0,Fatal
87347,24380887,9875804,115.902498,-32.803942,8/11/2018,1600.0,Fatal
87353,24380893,9875840,115.81448200000001,-32.54442,11/11/2018,8.0,Fatal
87354,24380894,9875844,116.10653500000001,-32.191094,10/11/2018,1514.0,Fatal
88347,24381887,9897598,116.18869,-32.147799,13/12/2018,620.0,Fatal
88350,24381890,9897715,115.783399,-31.915596,16/12/2018,1350.0,Fatal
88515,24382055,9878743,115.84111200000001,-33.246293,4/12/2018,2305.0,Fatal
88518,24382058,9878896,115.38174199999999,-31.026375,9/12/2018,1518.0,Fatal
88519,24382059,9878900,115.908751,-33.066167,9/12/2018,1720.0,Fatal
90082,24383622,9901120,115.628114,-32.689948,18/12/2018,1230.0,Fatal
90084,24383624,9901345,115.762298,-31.89545,22/12/2018,2001.0,Fatal
90085,24383625,9901349,115.89673300000001,-32.792848,21/12/2018,2140.0,Fatal
90086,24383626,9901353,115.521149,-30.726985,22/12/2018,902.0,Fatal
90089,24383629,9901438,115.751677,-31.752707,26/12/2018,1231.0,Fatal
90090,24383630,9901442,121.21773799999998,-33.754231,27/12/2018,1200.0,Fatal
90093,24383633,9901507,115.91163999999999,-32.019713,29/12/2018,1558.0,Fatal
90094,24383634,9901653,121.481595,-30.742390999999998,27/12/2018,240.0,Fatal
90095,24383635,9901842,114.667782,-28.708133,5/01/2019,340.0,Fatal
91071,24384611,9913457,115.849567,-32.933937,8/01/2019,1548.0,Fatal
92497,24386037,9957588,117.70313300000001,-35.006712,28/03/2019,1833.0,Fatal
92498,24386038,9957637,116.781399,-31.634998,29/03/2019,323.0,Fatal
92877,24386417,9927340,115.97071000000001,-31.991181,26/01/2019,1830.0,Fatal
92878,24386418,9927344,128.66429499999998,-19.883917999999998,25/01/2019,200.0,Fatal
92879,24386419,9927352,122.16958799999999,-33.736482,27/01/2019,1948.0,Fatal
92880,24386420,9927384,116.084751,-32.43249,29/01/2019,1029.0,Fatal
92881,24386421,9927388,115.733151,-32.055842999999996,28/01/2019,1915.0,Fatal
92882,24386422,9927449,115.75757,-31.742887,1/02/2019,252.0,Fatal
92883,24386423,9927493,115.76948700000001,-33.06333,23/01/2019,545.0,Fatal
